CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
time to create lock object: 797ns
time to acquire read lock : 74.061162ms
time to release read lock : 35.665693ms
time to acquire read lock : 102.703638ms
time to release read lock : 45.74537ms
time to acquire read lock : 108.928269ms
time to release read lock : 102.603543ms
time to acquire read lock : 90.091095ms
time to release read lock : 49.078453ms
time to acquire read lock : 93.527463ms
time to release read lock : 53.816191ms
time to acquire read lock : 115.275704ms
time to release read lock : 60.261222ms
time to acquire read lock : 148.845399ms
time to release read lock : 35.454472ms
time to acquire read lock : 104.298676ms
time to release read lock : 63.028817ms
time to acquire read lock : 120.171711ms
time to release read lock : 46.824241ms
time to acquire read lock : 89.469981ms
time to release read lock : 43.072182ms
time to acquire read lock : 85.836841ms
time to release read lock : 49.642472ms
time to acquire read lock : 78.849106ms
time to release read lock : 42.648407ms
time to acquire read lock : 78.414258ms
time to release read lock : 56.608488ms
time to acquire read lock : 123.906537ms
time to release read lock : 58.051397ms
time to acquire read lock : 114.188208ms
time to release read lock : 55.543538ms
time to acquire read lock : 118.80529ms
time to release read lock : 36.099338ms
time to acquire read lock : 87.814824ms
time to release read lock : 38.922506ms
time to acquire read lock : 116.250948ms
time to release read lock : 44.109322ms
time to acquire read lock : 105.885321ms
time to release read lock : 37.113778ms
time to acquire read lock : 78.416018ms
time to release read lock : 57.140524ms
time to acquire read lock : 118.881075ms
time to release read lock : 91.978993ms
time to acquire read lock : 188.872384ms
time to release read lock : 84.732949ms
time to acquire read lock : 91.020507ms
time to release read lock : 38.445012ms
time to acquire read lock : 104.538496ms
time to release read lock : 53.055833ms
time to acquire read lock : 98.367907ms
time to release read lock : 56.280387ms
time to acquire read lock : 138.324455ms
time to release read lock : 110.455553ms
time to acquire read lock : 205.966089ms
time to release read lock : 69.113755ms
time to acquire read lock : 180.780229ms
time to release read lock : 55.811653ms
time to acquire read lock : 155.299465ms
time to release read lock : 71.69327ms
time to acquire read lock : 102.623271ms
time to release read lock : 105.191831ms
time to acquire read lock : 130.212943ms
time to release read lock : 65.343543ms
time to acquire read lock : 145.660616ms
time to release read lock : 61.363057ms
time to acquire read lock : 101.189765ms
time to release read lock : 62.211856ms
time to acquire read lock : 165.144655ms
time to release read lock : 61.286167ms
time to acquire read lock : 83.67805ms
time to release read lock : 78.150642ms
time to acquire read lock : 115.841106ms
time to release read lock : 59.877517ms
time to acquire read lock : 86.657067ms
time to release read lock : 41.094611ms
time to acquire read lock : 115.046549ms
time to release read lock : 19.856688ms
time to acquire read lock : 88.775573ms
time to release read lock : 50.7282ms
time to acquire read lock : 107.637552ms
time to release read lock : 57.362202ms
time to acquire read lock : 83.19346ms
time to release read lock : 37.711302ms
time to acquire read lock : 189.88711ms
time to release read lock : 25.12758ms
time to acquire read lock : 103.564646ms
time to release read lock : 51.905025ms
time to acquire read lock : 161.007211ms
time to release read lock : 54.398298ms
time to acquire read lock : 95.096794ms
time to release read lock : 53.388275ms
time to acquire read lock : 126.856708ms
time to release read lock : 47.915147ms
time to acquire read lock : 179.937218ms
time to release read lock : 49.38329ms
time to acquire read lock : 78.053484ms
time to release read lock : 53.527832ms
time to acquire read lock : 93.432777ms
time to release read lock : 60.002053ms
time to acquire read lock : 138.483598ms
time to release read lock : 53.42279ms
time to acquire read lock : 102.144177ms
time to release read lock : 38.803545ms
time to acquire read lock : 109.230312ms
time to release read lock : 34.088483ms
time to acquire read lock : 73.920997ms
time to release read lock : 44.423359ms
time to acquire read lock : 71.15682ms
time to release read lock : 36.348055ms
time to acquire read lock : 97.327717ms
time to release read lock : 41.627876ms
time to acquire read lock : 115.380729ms
time to release read lock : 39.016977ms
time to acquire read lock : 123.816315ms
time to release read lock : 51.837605ms
time to acquire read lock : 124.797365ms
time to release read lock : 27.095731ms
time to acquire read lock : 283.193251ms
time to release read lock : 49.596776ms
time to acquire read lock : 112.56676ms
time to release read lock : 67.354393ms
time to acquire read lock : 145.094882ms
time to release read lock : 58.441125ms
time to acquire read lock : 152.5734ms
time to release read lock : 42.001432ms
time to acquire read lock : 229.790571ms
time to release read lock : 51.064722ms
time to acquire read lock : 130.435511ms
time to release read lock : 30.450344ms
time to acquire read lock : 92.484003ms
time to release read lock : 64.71723ms
time to acquire read lock : 132.145607ms
time to release read lock : 43.875041ms
time to acquire read lock : 93.335704ms
time to release read lock : 56.985677ms
time to acquire read lock : 90.43953ms
time to release read lock : 129.222836ms
time to acquire read lock : 132.474841ms
time to release read lock : 53.034657ms
time to acquire read lock : 122.202013ms
time to release read lock : 39.444675ms
time to acquire read lock : 297.142827ms
time to release read lock : 76.760156ms
time to acquire read lock : 134.544155ms
time to release read lock : 73.618027ms
time to acquire read lock : 122.210278ms
time to release read lock : 57.975519ms
time to acquire read lock : 85.390303ms
time to release read lock : 34.430676ms
time to acquire read lock : 108.933549ms
time to release read lock : 29.546596ms
time to acquire read lock : 71.971846ms
time to release read lock : 70.111372ms
time to acquire read lock : 106.45553ms
time to release read lock : 34.825196ms
time to acquire read lock : 145.34372ms
time to release read lock : 95.071245ms
time to acquire read lock : 197.610412ms
time to release read lock : 134.283946ms
time to acquire read lock : 219.006484ms
time to release read lock : 103.875449ms
time to acquire read lock : 96.67269ms
time to release read lock : 41.771045ms
time to acquire read lock : 254.076108ms
time to release read lock : 44.863177ms
time to acquire read lock : 129.791554ms
time to release read lock : 89.60007ms
time to acquire read lock : 162.710862ms
time to release read lock : 73.156587ms
time to acquire read lock : 109.276386ms
time to release read lock : 73.533874ms
time to acquire read lock : 230.243879ms
time to release read lock : 51.164918ms
time to acquire read lock : 116.233949ms
time to release read lock : 108.549916ms
time to acquire read lock : 187.988495ms
time to release read lock : 53.622798ms
time to acquire read lock : 116.208281ms
time to release read lock : 60.675382ms
time to acquire read lock : 105.47733ms
time to release read lock : 80.035007ms
time to acquire read lock : 115.056465ms
time to release read lock : 49.357749ms
time to acquire read lock : 102.67271ms
time to release read lock : 75.934019ms
time to acquire read lock : 76.94444ms
time to release read lock : 38.913188ms
time to acquire read lock : 114.130367ms
time to release read lock : 60.843118ms
time to acquire read lock : 119.792145ms
time to release read lock : 40.218383ms
time to acquire read lock : 156.007516ms
time to release read lock : 39.973976ms
time to acquire read lock : 151.847865ms
time to release read lock : 44.054377ms
time to acquire read lock : 122.910939ms
time to release read lock : 35.716983ms
time to acquire read lock : 90.32919ms
time to release read lock : 60.209369ms
time to acquire read lock : 124.818671ms
time to release read lock : 45.018111ms
time to acquire read lock : 87.765432ms
time to release read lock : 69.475887ms
time to acquire read lock : 223.521457ms
time to release read lock : 45.810567ms
time to acquire read lock : 110.519234ms
time to release read lock : 71.786127ms
time to acquire read lock : 91.061498ms
time to release read lock : 64.996318ms
time to acquire read lock : 137.533657ms
time to release read lock : 60.611571ms
time to acquire read lock : 151.300465ms
time to release read lock : 101.589516ms
time to acquire read lock : 95.218061ms
time to release read lock : 57.916073ms
time to acquire read lock : 86.639739ms
time to release read lock : 39.422042ms
time to acquire read lock : 139.83535ms
time to release read lock : 45.790693ms
time to acquire read lock : 134.501522ms
time to release read lock : 41.607214ms
time to acquire read lock : 91.247735ms
time to release read lock : 52.443463ms
time to acquire read lock : 108.636953ms
time to release read lock : 45.611496ms
time to acquire read lock : 113.780836ms
time to release read lock : 41.987308ms
time to acquire read lock : 204.319097ms
time to release read lock : 39.675802ms
time to acquire read lock : 256.490589ms
time to release read lock : 100.881101ms
time to acquire read lock : 150.395594ms
time to release read lock : 76.544767ms
time to acquire read lock : 105.519928ms
time to release read lock : 63.620862ms
time to acquire read lock : 105.881184ms
time to release read lock : 42.293288ms
time to acquire read lock : 122.147006ms
time to release read lock : 32.102643ms
time to acquire read lock : 92.581082ms
time to release read lock : 53.049854ms
time to acquire read lock : 97.147787ms
time to release read lock : 34.232546ms
time to acquire read lock : 172.333613ms
time to release read lock : 45.805537ms
time to acquire read lock : 83.272221ms
time to release read lock : 59.706229ms
time to acquire read lock : 97.580315ms
time to release read lock : 39.828585ms
time to acquire read lock : 112.057777ms
time to release read lock : 55.154277ms
time to acquire read lock : 105.275825ms
time to release read lock : 40.966037ms
time to acquire read lock : 123.707225ms
time to release read lock : 38.906232ms
time to acquire read lock : 154.682791ms
time to release read lock : 40.686989ms
time to acquire read lock : 94.953167ms
time to release read lock : 36.306113ms
time to acquire read lock : 120.661944ms
time to release read lock : 47.897607ms
time to acquire read lock : 92.870555ms
time to release read lock : 60.131432ms
time to acquire read lock : 91.583194ms
time to release read lock : 25.225908ms
time to acquire read lock : 84.993474ms
time to release read lock : 33.321251ms
time to acquire read lock : 121.250872ms
time to release read lock : 50.597265ms
time to acquire read lock : 118.274396ms
time to release read lock : 51.727623ms
time to acquire read lock : 74.419891ms
time to release read lock : 60.755251ms
time to acquire read lock : 117.510955ms
time to release read lock : 51.098722ms
time to acquire read lock : 105.835995ms
time to release read lock : 37.496566ms
time to acquire read lock : 77.904126ms
time to release read lock : 43.209446ms
time to acquire read lock : 78.495184ms
time to release read lock : 59.92006ms
time to acquire read lock : 77.926498ms
time to release read lock : 59.946177ms
time to acquire read lock : 103.428787ms
time to release read lock : 40.151635ms
time to acquire read lock : 107.849621ms
time to release read lock : 33.784592ms
time to acquire read lock : 140.586731ms
time to release read lock : 30.740503ms
time to acquire read lock : 116.498332ms
time to release read lock : 84.399855ms
time to acquire read lock : 88.48916ms
time to release read lock : 162.226953ms
time to acquire read lock : 90.344602ms
time to release read lock : 50.183966ms
time to acquire read lock : 125.047066ms
time to release read lock : 70.980635ms
time to acquire read lock : 161.803234ms
time to release read lock : 49.964949ms
time to acquire read lock : 174.747494ms
time to release read lock : 65.65896ms
time to acquire read lock : 234.819778ms
time to release read lock : 43.011359ms
time to acquire read lock : 152.957459ms
time to release read lock : 67.191479ms
time to acquire read lock : 76.875131ms
time to release read lock : 80.298786ms
time to acquire read lock : 85.671409ms
time to release read lock : 49.806555ms
time to acquire read lock : 98.488491ms
time to release read lock : 38.910877ms
time to acquire read lock : 136.688775ms
time to release read lock : 50.568644ms
time to acquire read lock : 100.439911ms
time to release read lock : 47.443051ms
time to acquire read lock : 78.512506ms
time to release read lock : 58.822227ms
time to acquire read lock : 200.623785ms
time to release read lock : 65.869636ms
time to acquire read lock : 131.621887ms
time to release read lock : 51.731559ms
time to acquire read lock : 112.366303ms
time to release read lock : 48.383089ms
time to acquire read lock : 158.963864ms
time to release read lock : 39.23368ms
time to acquire read lock : 91.711016ms
time to release read lock : 50.577329ms
time to acquire read lock : 122.931048ms
time to release read lock : 76.627585ms
time to acquire read lock : 112.980424ms
time to release read lock : 49.202864ms
time to acquire read lock : 139.303663ms
time to release read lock : 137.285953ms
time to acquire read lock : 95.057682ms
time to release read lock : 39.307231ms
time to acquire read lock : 94.26541ms
time to release read lock : 48.315799ms
time to acquire read lock : 140.482266ms
time to release read lock : 64.716247ms
time to acquire read lock : 76.864136ms
time to release read lock : 25.62229ms
time to acquire read lock : 94.877411ms
time to release read lock : 40.79485ms
time to acquire read lock : 156.515718ms
time to release read lock : 52.267792ms
time to acquire read lock : 84.989067ms
time to release read lock : 60.08235ms
time to acquire read lock : 60.425566ms
time to release read lock : 46.673935ms
time to acquire read lock : 147.937137ms
time to release read lock : 96.043835ms
time to acquire read lock : 122.543836ms
time to release read lock : 36.402792ms
time to acquire read lock : 106.835253ms
time to release read lock : 78.614798ms
time to acquire read lock : 86.160574ms
time to release read lock : 27.497898ms
time to acquire read lock : 107.560728ms
time to release read lock : 73.920069ms
time to acquire read lock : 118.856908ms
time to release read lock : 42.754968ms
time to acquire read lock : 183.714766ms
time to release read lock : 44.316556ms
time to acquire read lock : 112.231575ms
time to release read lock : 66.366458ms
time to acquire read lock : 142.073993ms
time to release read lock : 80.053294ms
time to acquire read lock : 121.824608ms
time to release read lock : 37.436282ms
time to acquire read lock : 98.378818ms
time to release read lock : 38.155925ms
time to acquire read lock : 101.012811ms
time to release read lock : 46.086906ms
time to acquire read lock : 61.009845ms
time to release read lock : 51.046094ms
time to acquire read lock : 71.781092ms
time to release read lock : 61.854978ms
time to acquire read lock : 306.973472ms
time to release read lock : 77.012431ms
time to acquire read lock : 110.828073ms
time to release read lock : 57.460111ms
time to acquire read lock : 126.747851ms
time to release read lock : 31.902844ms
time to acquire read lock : 79.48859ms
time to release read lock : 48.046869ms
time to acquire read lock : 84.148176ms
time to release read lock : 42.727326ms
time to acquire read lock : 154.820911ms
time to release read lock : 62.837668ms
time to acquire read lock : 90.083228ms
time to release read lock : 38.866723ms
time to acquire read lock : 73.228655ms
time to release read lock : 45.181256ms
time to acquire read lock : 77.795766ms
time to release read lock : 39.309076ms
time to acquire read lock : 175.41183ms
time to release read lock : 29.716422ms
time to acquire read lock : 98.233118ms
time to release read lock : 40.05942ms
time to acquire read lock : 189.511343ms
time to release read lock : 51.562325ms
time to acquire read lock : 118.136334ms
time to release read lock : 46.264718ms
time to acquire read lock : 115.913645ms
time to release read lock : 55.102355ms
time to acquire read lock : 87.813131ms
time to release read lock : 85.081879ms
time to acquire read lock : 62.392328ms
time to release read lock : 106.889901ms
time to acquire read lock : 98.255544ms
time to release read lock : 71.340582ms
time to acquire read lock : 146.699312ms
time to release read lock : 112.139268ms
time to acquire read lock : 232.481059ms
time to release read lock : 43.097461ms
time to acquire read lock : 146.367346ms
time to release read lock : 40.426228ms
time to acquire read lock : 138.110067ms
time to release read lock : 116.212144ms
time to acquire read lock : 163.763862ms
time to release read lock : 46.515897ms
time to acquire read lock : 145.84806ms
time to release read lock : 45.447668ms
time to acquire read lock : 134.428501ms
time to release read lock : 44.661429ms
time to acquire read lock : 123.210495ms
time to release read lock : 52.663194ms
time to acquire read lock : 168.612253ms
time to release read lock : 39.485449ms
time to acquire read lock : 134.691467ms
time to release read lock : 41.897565ms
time to acquire read lock : 114.913042ms
time to release read lock : 56.786873ms
time to acquire read lock : 204.867261ms
time to release read lock : 69.675257ms
time to acquire read lock : 146.380519ms
time to release read lock : 64.483902ms
time to acquire read lock : 90.312911ms
time to release read lock : 36.066343ms
time to acquire read lock : 107.137752ms
time to release read lock : 30.644101ms
time to acquire read lock : 100.822581ms
time to release read lock : 33.985613ms
time to acquire read lock : 82.180689ms
time to release read lock : 53.890128ms
time to acquire read lock : 68.410892ms
time to release read lock : 56.394626ms
time to acquire read lock : 106.288065ms
time to release read lock : 48.992387ms
time to acquire read lock : 104.781679ms
time to release read lock : 53.405485ms
time to acquire read lock : 83.710888ms
time to release read lock : 33.178132ms
time to acquire read lock : 111.856677ms
time to release read lock : 37.585704ms
time to acquire read lock : 89.650254ms
time to release read lock : 37.710943ms
time to acquire read lock : 81.67915ms
time to release read lock : 39.235574ms
time to acquire read lock : 108.087187ms
time to release read lock : 43.131529ms
time to acquire read lock : 65.626354ms
time to release read lock : 51.074968ms
time to acquire read lock : 142.002999ms
time to release read lock : 100.315136ms
time to acquire read lock : 81.085174ms
time to release read lock : 61.476493ms
time to acquire read lock : 80.324592ms
time to release read lock : 55.728471ms
time to acquire read lock : 124.98612ms
time to release read lock : 65.91052ms
time to acquire read lock : 89.818601ms
time to release read lock : 64.008747ms
time to acquire read lock : 169.505594ms
time to release read lock : 232.078745ms
time to acquire read lock : 151.085899ms
time to release read lock : 47.115293ms
time to acquire read lock : 200.818595ms
time to release read lock : 74.056372ms
time to acquire read lock : 109.054418ms
time to release read lock : 37.651349ms
time to acquire read lock : 118.48056ms
time to release read lock : 49.517085ms
time to acquire read lock : 87.422904ms
time to release read lock : 47.363735ms
time to acquire read lock : 76.457344ms
time to release read lock : 51.050025ms
time to acquire read lock : 80.514856ms
time to release read lock : 33.527794ms
time to acquire read lock : 102.004637ms
time to release read lock : 43.595427ms
time to acquire read lock : 114.127672ms
time to release read lock : 42.821433ms
time to acquire read lock : 114.021384ms
time to release read lock : 34.95544ms
time to acquire read lock : 171.362619ms
time to release read lock : 40.026273ms
time to acquire read lock : 85.226977ms
time to release read lock : 45.01358ms
time to acquire read lock : 79.149451ms
time to release read lock : 29.330777ms
time to acquire read lock : 78.019837ms
time to release read lock : 53.040211ms
time to acquire read lock : 99.248929ms
time to release read lock : 37.130813ms
time to acquire read lock : 81.418033ms
time to release read lock : 38.248377ms
time to acquire read lock : 109.646954ms
time to release read lock : 36.913245ms
time to acquire read lock : 140.193467ms
time to release read lock : 32.924809ms
time to acquire read lock : 90.507229ms
time to release read lock : 45.922995ms
time to acquire read lock : 98.580502ms
time to release read lock : 50.012549ms
