CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
time to create lock object: 15.24µs
time to acquire read lock : 97.327124ms
time to release read lock : 37.74369ms
time to acquire read lock : 98.79718ms
time to release read lock : 49.395959ms
time to acquire read lock : 108.898327ms
time to release read lock : 55.066263ms
time to acquire read lock : 106.572054ms
time to release read lock : 34.385149ms
time to acquire read lock : 146.444101ms
time to release read lock : 38.306547ms
time to acquire read lock : 81.595019ms
time to release read lock : 52.430204ms
time to acquire read lock : 86.403673ms
time to release read lock : 55.477542ms
time to acquire read lock : 115.048554ms
time to release read lock : 51.607024ms
time to acquire read lock : 137.938961ms
time to release read lock : 43.898121ms
time to acquire read lock : 156.844315ms
time to release read lock : 45.743659ms
time to acquire read lock : 81.422615ms
time to release read lock : 52.126365ms
time to acquire read lock : 132.538284ms
time to release read lock : 43.371494ms
time to acquire read lock : 76.424952ms
time to release read lock : 45.808397ms
time to acquire read lock : 96.571923ms
time to release read lock : 35.841643ms
time to acquire read lock : 87.098252ms
time to release read lock : 43.32629ms
time to acquire read lock : 116.403414ms
time to release read lock : 51.849592ms
time to acquire read lock : 112.419506ms
time to release read lock : 59.837385ms
time to acquire read lock : 95.636708ms
time to release read lock : 59.564587ms
time to acquire read lock : 139.013168ms
time to release read lock : 67.475919ms
time to acquire read lock : 95.411911ms
time to release read lock : 53.766304ms
time to acquire read lock : 110.556335ms
time to release read lock : 60.977602ms
time to acquire read lock : 173.055213ms
time to release read lock : 82.502865ms
time to acquire read lock : 226.867928ms
time to release read lock : 31.01263ms
time to acquire read lock : 73.048127ms
time to release read lock : 33.77496ms
time to acquire read lock : 104.71541ms
time to release read lock : 59.907205ms
time to acquire read lock : 114.677469ms
time to release read lock : 88.430464ms
time to acquire read lock : 139.330814ms
time to release read lock : 43.043069ms
time to acquire read lock : 289.814743ms
time to release read lock : 59.22014ms
time to acquire read lock : 155.772366ms
time to release read lock : 79.578149ms
time to acquire read lock : 177.6433ms
time to release read lock : 53.102382ms
time to acquire read lock : 146.603684ms
time to release read lock : 57.380777ms
time to acquire read lock : 129.442304ms
time to release read lock : 53.662146ms
time to acquire read lock : 103.493028ms
time to release read lock : 56.591294ms
time to acquire read lock : 95.56216ms
time to release read lock : 94.524437ms
time to acquire read lock : 172.47854ms
time to release read lock : 75.245732ms
time to acquire read lock : 121.229684ms
time to release read lock : 25.799524ms
time to acquire read lock : 116.225559ms
time to release read lock : 31.17479ms
time to acquire read lock : 127.975169ms
time to release read lock : 22.549046ms
time to acquire read lock : 93.29044ms
time to release read lock : 36.052023ms
time to acquire read lock : 99.95678ms
time to release read lock : 62.559991ms
time to acquire read lock : 104.163162ms
time to release read lock : 41.719206ms
time to acquire read lock : 158.167676ms
time to release read lock : 64.183268ms
time to acquire read lock : 104.105333ms
time to release read lock : 55.597044ms
time to acquire read lock : 161.039596ms
time to release read lock : 52.344079ms
time to acquire read lock : 92.788566ms
time to release read lock : 32.559092ms
time to acquire read lock : 111.495082ms
time to release read lock : 71.421869ms
time to acquire read lock : 185.753803ms
time to release read lock : 41.32554ms
time to acquire read lock : 101.482683ms
time to release read lock : 54.189098ms
time to acquire read lock : 102.383271ms
time to release read lock : 61.204467ms
time to acquire read lock : 126.013204ms
time to release read lock : 51.618444ms
time to acquire read lock : 85.250953ms
time to release read lock : 34.32508ms
time to acquire read lock : 81.220615ms
time to release read lock : 75.129332ms
time to acquire read lock : 98.053963ms
time to release read lock : 41.772053ms
time to acquire read lock : 108.740408ms
time to release read lock : 58.633942ms
time to acquire read lock : 87.649718ms
time to release read lock : 37.989807ms
time to acquire read lock : 151.277543ms
time to release read lock : 55.343092ms
time to acquire read lock : 102.749895ms
time to release read lock : 48.582575ms
time to acquire read lock : 153.256ms
time to release read lock : 205.258574ms
time to acquire read lock : 111.096272ms
time to release read lock : 44.338181ms
time to acquire read lock : 112.315787ms
time to release read lock : 70.762219ms
time to acquire read lock : 134.724732ms
time to release read lock : 80.415127ms
time to acquire read lock : 147.629092ms
time to release read lock : 55.730303ms
time to acquire read lock : 182.00214ms
time to release read lock : 67.131259ms
time to acquire read lock : 127.066338ms
time to release read lock : 49.629646ms
time to acquire read lock : 126.44512ms
time to release read lock : 50.588462ms
time to acquire read lock : 119.469064ms
time to release read lock : 56.873683ms
time to acquire read lock : 93.439431ms
time to release read lock : 58.662656ms
time to acquire read lock : 166.322365ms
time to release read lock : 46.41928ms
time to acquire read lock : 121.029539ms
time to release read lock : 37.261574ms
time to acquire read lock : 93.535975ms
time to release read lock : 40.367861ms
time to acquire read lock : 358.336998ms
time to release read lock : 75.856418ms
time to acquire read lock : 91.910345ms
time to release read lock : 48.771807ms
time to acquire read lock : 96.402019ms
time to release read lock : 51.471279ms
time to acquire read lock : 146.436566ms
time to release read lock : 46.682218ms
time to acquire read lock : 103.022719ms
time to release read lock : 49.477231ms
time to acquire read lock : 92.84163ms
time to release read lock : 30.793807ms
time to acquire read lock : 122.26945ms
time to release read lock : 63.719563ms
time to acquire read lock : 138.748718ms
time to release read lock : 66.919275ms
time to acquire read lock : 182.008266ms
time to release read lock : 114.508641ms
time to acquire read lock : 189.776609ms
time to release read lock : 80.302397ms
time to acquire read lock : 139.983711ms
time to release read lock : 60.175046ms
time to acquire read lock : 203.978736ms
time to release read lock : 45.100171ms
time to acquire read lock : 104.955122ms
time to release read lock : 81.224409ms
time to acquire read lock : 151.1607ms
time to release read lock : 56.001935ms
time to acquire read lock : 103.6884ms
time to release read lock : 36.773767ms
time to acquire read lock : 140.532125ms
time to release read lock : 121.720088ms
time to acquire read lock : 111.361847ms
time to release read lock : 60.450322ms
time to acquire read lock : 206.982811ms
time to release read lock : 42.086058ms
time to acquire read lock : 100.561595ms
time to release read lock : 62.0468ms
time to acquire read lock : 134.458637ms
time to release read lock : 42.795887ms
time to acquire read lock : 71.859215ms
time to release read lock : 63.62297ms
time to acquire read lock : 96.399943ms
time to release read lock : 44.624379ms
time to acquire read lock : 69.132957ms
time to release read lock : 69.312671ms
time to acquire read lock : 128.940101ms
time to release read lock : 24.737977ms
time to acquire read lock : 129.221843ms
time to release read lock : 37.554551ms
time to acquire read lock : 109.026682ms
time to release read lock : 48.342459ms
time to acquire read lock : 97.399962ms
time to release read lock : 70.373595ms
time to acquire read lock : 105.605706ms
time to release read lock : 68.065435ms
time to acquire read lock : 100.167587ms
time to release read lock : 60.591157ms
time to acquire read lock : 109.476616ms
time to release read lock : 64.019174ms
time to acquire read lock : 89.514201ms
time to release read lock : 54.654763ms
time to acquire read lock : 128.277837ms
time to release read lock : 56.028205ms
time to acquire read lock : 215.545241ms
time to release read lock : 47.791465ms
time to acquire read lock : 112.190312ms
time to release read lock : 64.675507ms
time to acquire read lock : 169.854414ms
time to release read lock : 48.136105ms
time to acquire read lock : 103.884677ms
time to release read lock : 43.034177ms
time to acquire read lock : 135.583384ms
time to release read lock : 57.288354ms
time to acquire read lock : 175.347851ms
time to release read lock : 51.946709ms
time to acquire read lock : 119.929072ms
time to release read lock : 59.52033ms
time to acquire read lock : 84.123892ms
time to release read lock : 42.689101ms
time to acquire read lock : 103.380145ms
time to release read lock : 29.179374ms
time to acquire read lock : 64.863244ms
time to release read lock : 44.411298ms
time to acquire read lock : 127.402728ms
time to release read lock : 41.176316ms
time to acquire read lock : 175.848528ms
time to release read lock : 47.769182ms
time to acquire read lock : 116.524499ms
time to release read lock : 119.811239ms
time to acquire read lock : 103.151379ms
time to release read lock : 146.286372ms
time to acquire read lock : 84.461226ms
time to release read lock : 39.017184ms
time to acquire read lock : 109.27704ms
time to release read lock : 56.175155ms
time to acquire read lock : 134.133432ms
time to release read lock : 49.980819ms
time to acquire read lock : 105.876882ms
time to release read lock : 46.447355ms
time to acquire read lock : 107.056995ms
time to release read lock : 40.08383ms
time to acquire read lock : 74.840478ms
time to release read lock : 38.896365ms
time to acquire read lock : 88.959881ms
time to release read lock : 39.466852ms
time to acquire read lock : 90.912632ms
time to release read lock : 34.330932ms
time to acquire read lock : 181.147735ms
time to release read lock : 49.258148ms
time to acquire read lock : 90.067549ms
time to release read lock : 34.048059ms
time to acquire read lock : 52.477565ms
time to release read lock : 53.35386ms
time to acquire read lock : 95.728996ms
time to release read lock : 33.988456ms
time to acquire read lock : 82.291488ms
time to release read lock : 46.587064ms
time to acquire read lock : 78.00368ms
time to release read lock : 54.984853ms
time to acquire read lock : 88.908304ms
time to release read lock : 48.10011ms
time to acquire read lock : 154.495055ms
time to release read lock : 61.913465ms
time to acquire read lock : 117.813657ms
time to release read lock : 48.664338ms
time to acquire read lock : 78.436585ms
time to release read lock : 38.007488ms
time to acquire read lock : 84.376072ms
time to release read lock : 62.932651ms
time to acquire read lock : 97.454015ms
time to release read lock : 49.188293ms
time to acquire read lock : 98.980516ms
time to release read lock : 40.674705ms
time to acquire read lock : 121.215653ms
time to release read lock : 32.781234ms
time to acquire read lock : 101.778028ms
time to release read lock : 37.080231ms
time to acquire read lock : 129.033474ms
time to release read lock : 50.305706ms
time to acquire read lock : 101.8032ms
time to release read lock : 57.083185ms
time to acquire read lock : 101.839619ms
time to release read lock : 51.858684ms
time to acquire read lock : 120.077232ms
time to release read lock : 78.538557ms
time to acquire read lock : 80.311023ms
time to release read lock : 57.708125ms
