CREATE CLIENT
CREATE SESSION
time to create lock object: 1.025µs
time to acquire read lock : 8.938792ms
time to release read lock : 5.688659ms
time to acquire read lock : 7.993261ms
time to release read lock : 6.452221ms
time to acquire read lock : 10.825285ms
time to release read lock : 4.789133ms
time to acquire read lock : 7.839253ms
time to release read lock : 5.878036ms
time to acquire read lock : 8.911494ms
time to release read lock : 7.541645ms
time to acquire read lock : 7.871995ms
time to release read lock : 6.210223ms
time to acquire read lock : 9.869306ms
time to release read lock : 6.015285ms
time to acquire read lock : 13.97857ms
time to release read lock : 5.544951ms
time to acquire read lock : 11.119355ms
time to release read lock : 4.399421ms
time to acquire read lock : 8.485249ms
time to release read lock : 7.638623ms
time to acquire read lock : 7.684795ms
time to release read lock : 4.457591ms
time to acquire read lock : 12.065964ms
time to release read lock : 4.602398ms
time to acquire read lock : 8.838054ms
time to release read lock : 4.608908ms
time to acquire read lock : 8.145357ms
time to release read lock : 6.417919ms
time to acquire read lock : 7.519175ms
time to release read lock : 5.017287ms
time to acquire read lock : 9.102652ms
time to release read lock : 4.263157ms
time to acquire read lock : 8.260691ms
time to release read lock : 4.777937ms
time to acquire read lock : 8.938797ms
time to release read lock : 4.444554ms
time to acquire read lock : 9.938748ms
time to release read lock : 4.60991ms
time to acquire read lock : 7.903329ms
time to release read lock : 5.049343ms
time to acquire read lock : 8.660906ms
time to release read lock : 4.48651ms
time to acquire read lock : 10.008075ms
time to release read lock : 4.04391ms
time to acquire read lock : 13.825845ms
time to release read lock : 6.396151ms
time to acquire read lock : 9.154179ms
time to release read lock : 5.786528ms
time to acquire read lock : 7.724833ms
time to release read lock : 4.642421ms
time to acquire read lock : 10.342908ms
time to release read lock : 4.583135ms
time to acquire read lock : 10.264239ms
time to release read lock : 4.904067ms
time to acquire read lock : 10.772414ms
time to release read lock : 5.936091ms
time to acquire read lock : 7.977175ms
time to release read lock : 6.029371ms
time to acquire read lock : 8.255777ms
time to release read lock : 4.670073ms
time to acquire read lock : 14.214849ms
time to release read lock : 3.48236ms
time to acquire read lock : 9.31037ms
time to release read lock : 4.134244ms
time to acquire read lock : 10.956703ms
time to release read lock : 4.854136ms
time to acquire read lock : 10.666747ms
time to release read lock : 4.138917ms
time to acquire read lock : 10.034616ms
time to release read lock : 3.650683ms
time to acquire read lock : 8.747222ms
time to release read lock : 4.269593ms
time to acquire read lock : 9.412518ms
time to release read lock : 5.630747ms
time to acquire read lock : 13.993778ms
time to release read lock : 4.991682ms
time to acquire read lock : 8.953442ms
time to release read lock : 3.868994ms
time to acquire read lock : 8.475548ms
time to release read lock : 4.072138ms
time to acquire read lock : 9.331282ms
time to release read lock : 5.340386ms
time to acquire read lock : 10.402307ms
time to release read lock : 3.952005ms
time to acquire read lock : 9.319477ms
time to release read lock : 3.930905ms
time to acquire read lock : 8.242765ms
time to release read lock : 4.033488ms
time to acquire read lock : 9.074035ms
time to release read lock : 4.036182ms
time to acquire read lock : 7.85669ms
time to release read lock : 4.475414ms
time to acquire read lock : 10.91124ms
time to release read lock : 3.472838ms
time to acquire read lock : 9.342062ms
time to release read lock : 5.198824ms
time to acquire read lock : 9.0317ms
time to release read lock : 5.528478ms
time to acquire read lock : 8.280592ms
time to release read lock : 4.824954ms
time to acquire read lock : 9.991698ms
time to release read lock : 4.449969ms
time to acquire read lock : 8.995959ms
time to release read lock : 6.73236ms
time to acquire read lock : 11.640921ms
time to release read lock : 8.529575ms
time to acquire read lock : 8.992401ms
time to release read lock : 3.701765ms
time to acquire read lock : 10.914901ms
time to release read lock : 4.978361ms
time to acquire read lock : 9.709252ms
time to release read lock : 4.88833ms
time to acquire read lock : 9.112878ms
time to release read lock : 4.749314ms
time to acquire read lock : 11.051184ms
time to release read lock : 5.220657ms
time to acquire read lock : 15.096957ms
time to release read lock : 6.560292ms
time to acquire read lock : 11.873391ms
time to release read lock : 7.27556ms
time to acquire read lock : 9.482139ms
time to release read lock : 5.006477ms
time to acquire read lock : 8.386755ms
time to release read lock : 4.494898ms
time to acquire read lock : 10.069397ms
time to release read lock : 5.266681ms
time to acquire read lock : 9.791428ms
time to release read lock : 4.537863ms
time to acquire read lock : 9.760979ms
time to release read lock : 6.10389ms
time to acquire read lock : 12.463094ms
time to release read lock : 6.682044ms
time to acquire read lock : 13.340616ms
time to release read lock : 5.205605ms
time to acquire read lock : 8.420264ms
time to release read lock : 4.50663ms
time to acquire read lock : 10.413979ms
time to release read lock : 5.530029ms
time to acquire read lock : 8.353295ms
time to release read lock : 12.097074ms
time to acquire read lock : 13.852698ms
time to release read lock : 4.435877ms
time to acquire read lock : 8.109953ms
time to release read lock : 6.055226ms
time to acquire read lock : 11.248362ms
time to release read lock : 5.442068ms
time to acquire read lock : 16.891534ms
time to release read lock : 4.670019ms
time to acquire read lock : 11.182797ms
time to release read lock : 4.788867ms
time to acquire read lock : 11.890762ms
time to release read lock : 4.760566ms
time to acquire read lock : 9.335995ms
time to release read lock : 6.338092ms
time to acquire read lock : 10.868676ms
time to release read lock : 3.896546ms
time to acquire read lock : 8.79033ms
time to release read lock : 4.784783ms
time to acquire read lock : 12.387437ms
time to release read lock : 5.666548ms
time to acquire read lock : 15.311429ms
time to release read lock : 6.109417ms
time to acquire read lock : 13.162743ms
time to release read lock : 3.766427ms
time to acquire read lock : 9.397395ms
time to release read lock : 5.054231ms
time to acquire read lock : 8.65536ms
time to release read lock : 4.121769ms
time to acquire read lock : 8.897469ms
time to release read lock : 6.477664ms
time to acquire read lock : 11.329104ms
time to release read lock : 5.054909ms
time to acquire read lock : 11.264004ms
time to release read lock : 5.175663ms
time to acquire read lock : 8.924263ms
time to release read lock : 4.751506ms
time to acquire read lock : 8.595376ms
time to release read lock : 6.341456ms
time to acquire read lock : 9.877413ms
time to release read lock : 5.097575ms
time to acquire read lock : 9.08431ms
time to release read lock : 5.097057ms
time to acquire read lock : 8.616292ms
time to release read lock : 4.535532ms
time to acquire read lock : 11.189375ms
time to release read lock : 5.564362ms
time to acquire read lock : 11.185409ms
time to release read lock : 4.60102ms
time to acquire read lock : 9.039884ms
time to release read lock : 5.344617ms
time to acquire read lock : 8.580389ms
time to release read lock : 5.488249ms
time to acquire read lock : 8.416257ms
time to release read lock : 5.651286ms
time to acquire read lock : 8.504758ms
time to release read lock : 4.358724ms
time to acquire read lock : 10.465854ms
time to release read lock : 4.681189ms
time to acquire read lock : 8.885623ms
time to release read lock : 4.495008ms
time to acquire read lock : 12.577311ms
time to release read lock : 7.445367ms
time to acquire read lock : 10.785439ms
time to release read lock : 6.254273ms
time to acquire read lock : 12.260233ms
time to release read lock : 7.452726ms
time to acquire read lock : 10.027517ms
time to release read lock : 15.554191ms
time to acquire read lock : 10.716501ms
time to release read lock : 4.753378ms
time to acquire read lock : 14.876331ms
time to release read lock : 4.678213ms
time to acquire read lock : 10.886634ms
time to release read lock : 5.101168ms
time to acquire read lock : 9.676721ms
time to release read lock : 6.710455ms
time to acquire read lock : 9.923974ms
time to release read lock : 4.361104ms
time to acquire read lock : 9.224011ms
time to release read lock : 4.010468ms
time to acquire read lock : 8.579237ms
time to release read lock : 4.270537ms
time to acquire read lock : 8.742859ms
time to release read lock : 6.963354ms
time to acquire read lock : 9.098853ms
time to release read lock : 4.881103ms
time to acquire read lock : 12.269254ms
time to release read lock : 5.248038ms
time to acquire read lock : 7.971998ms
time to release read lock : 6.136789ms
time to acquire read lock : 8.81869ms
time to release read lock : 6.101056ms
time to acquire read lock : 8.218083ms
time to release read lock : 4.503687ms
time to acquire read lock : 9.904356ms
time to release read lock : 5.240064ms
time to acquire read lock : 8.123359ms
time to release read lock : 4.748778ms
time to acquire read lock : 10.415118ms
time to release read lock : 5.973547ms
time to acquire read lock : 8.10509ms
time to release read lock : 3.930838ms
time to acquire read lock : 9.384397ms
time to release read lock : 4.781461ms
time to acquire read lock : 8.593236ms
time to release read lock : 4.266309ms
time to acquire read lock : 8.21084ms
time to release read lock : 6.017141ms
time to acquire read lock : 8.163837ms
time to release read lock : 5.443117ms
time to acquire read lock : 11.049837ms
time to release read lock : 4.963939ms
time to acquire read lock : 7.277435ms
time to release read lock : 3.703877ms
time to acquire read lock : 8.061526ms
time to release read lock : 4.52116ms
time to acquire read lock : 9.962663ms
time to release read lock : 4.599179ms
time to acquire read lock : 12.982584ms
time to release read lock : 9.780081ms
time to acquire read lock : 7.767309ms
time to release read lock : 4.123945ms
time to acquire read lock : 8.000216ms
time to release read lock : 6.0538ms
time to acquire read lock : 6.932487ms
time to release read lock : 6.787504ms
time to acquire read lock : 18.079077ms
time to release read lock : 4.19701ms
time to acquire read lock : 9.228908ms
time to release read lock : 4.250813ms
time to acquire read lock : 9.434004ms
time to release read lock : 3.745245ms
time to acquire read lock : 10.668399ms
time to release read lock : 4.186649ms
time to acquire read lock : 11.828673ms
time to release read lock : 3.880793ms
time to acquire read lock : 11.072006ms
time to release read lock : 4.405434ms
time to acquire read lock : 9.420599ms
time to release read lock : 4.21328ms
time to acquire read lock : 10.235338ms
time to release read lock : 5.175861ms
time to acquire read lock : 11.74557ms
time to release read lock : 4.032372ms
time to acquire read lock : 8.942028ms
time to release read lock : 5.394948ms
time to acquire read lock : 13.215059ms
time to release read lock : 4.570933ms
time to acquire read lock : 9.377596ms
time to release read lock : 5.587064ms
time to acquire read lock : 8.693626ms
time to release read lock : 3.732287ms
time to acquire read lock : 12.28391ms
time to release read lock : 4.269271ms
time to acquire read lock : 10.544591ms
time to release read lock : 7.366781ms
time to acquire read lock : 8.306395ms
time to release read lock : 4.335921ms
time to acquire read lock : 7.618335ms
time to release read lock : 5.375226ms
time to acquire read lock : 10.470011ms
time to release read lock : 5.816779ms
time to acquire read lock : 9.310655ms
time to release read lock : 5.162503ms
time to acquire read lock : 8.034334ms
time to release read lock : 4.907409ms
time to acquire read lock : 9.492251ms
time to release read lock : 4.29532ms
time to acquire read lock : 10.649888ms
time to release read lock : 8.165861ms
time to acquire read lock : 10.83669ms
time to release read lock : 4.314833ms
time to acquire read lock : 8.1561ms
time to release read lock : 6.527329ms
time to acquire read lock : 8.852513ms
time to release read lock : 4.544691ms
time to acquire read lock : 8.589344ms
time to release read lock : 4.03454ms
time to acquire read lock : 8.372014ms
time to release read lock : 5.053861ms
time to acquire read lock : 7.273729ms
time to release read lock : 6.111032ms
time to acquire read lock : 9.440444ms
time to release read lock : 4.971973ms
time to acquire read lock : 11.594593ms
time to release read lock : 4.650084ms
time to acquire read lock : 10.261133ms
time to release read lock : 5.221273ms
time to acquire read lock : 10.991504ms
time to release read lock : 7.00454ms
time to acquire read lock : 9.495932ms
time to release read lock : 4.832441ms
time to acquire read lock : 10.056461ms
time to release read lock : 4.160002ms
time to acquire read lock : 10.970472ms
time to release read lock : 4.800322ms
time to acquire read lock : 10.259442ms
time to release read lock : 5.727959ms
time to acquire read lock : 13.02482ms
time to release read lock : 3.476285ms
