CREATE CLIENT
CREATE SESSION
time to create lock object: 742ns
time to acquire read lock : 27.376547ms
time to release read lock : 17.565747ms
time to acquire read lock : 36.943807ms
time to release read lock : 14.502784ms
time to acquire read lock : 21.80843ms
time to release read lock : 9.02593ms
time to acquire read lock : 18.653934ms
time to release read lock : 10.863072ms
time to acquire read lock : 29.496446ms
time to release read lock : 10.941297ms
time to acquire read lock : 23.368209ms
time to release read lock : 7.949786ms
time to acquire read lock : 19.851272ms
time to release read lock : 10.390883ms
time to acquire read lock : 22.776045ms
time to release read lock : 12.786501ms
time to acquire read lock : 23.485644ms
time to release read lock : 12.285911ms
time to acquire read lock : 16.303291ms
time to release read lock : 14.282666ms
time to acquire read lock : 25.572335ms
time to release read lock : 18.775354ms
time to acquire read lock : 24.733412ms
time to release read lock : 19.026097ms
time to acquire read lock : 35.281262ms
time to release read lock : 16.015807ms
time to acquire read lock : 26.315236ms
time to release read lock : 12.226374ms
time to acquire read lock : 18.38442ms
time to release read lock : 10.630862ms
time to acquire read lock : 23.677738ms
time to release read lock : 9.002139ms
time to acquire read lock : 23.378879ms
time to release read lock : 10.559324ms
time to acquire read lock : 25.584309ms
time to release read lock : 14.500702ms
time to acquire read lock : 21.012732ms
time to release read lock : 11.71856ms
time to acquire read lock : 19.19832ms
time to release read lock : 7.522938ms
time to acquire read lock : 25.676583ms
time to release read lock : 13.935207ms
time to acquire read lock : 27.506552ms
time to release read lock : 9.604458ms
time to acquire read lock : 27.797142ms
time to release read lock : 14.426001ms
time to acquire read lock : 22.01157ms
time to release read lock : 11.158824ms
time to acquire read lock : 25.264744ms
time to release read lock : 8.897548ms
time to acquire read lock : 18.334281ms
time to release read lock : 11.277024ms
time to acquire read lock : 23.992443ms
time to release read lock : 8.586931ms
time to acquire read lock : 20.081314ms
time to release read lock : 18.519084ms
time to acquire read lock : 17.535479ms
time to release read lock : 6.214277ms
time to acquire read lock : 28.950866ms
time to release read lock : 8.849546ms
time to acquire read lock : 20.762837ms
time to release read lock : 10.645748ms
time to acquire read lock : 41.790351ms
time to release read lock : 15.143421ms
time to acquire read lock : 25.994569ms
time to release read lock : 12.601656ms
time to acquire read lock : 17.947181ms
time to release read lock : 11.855337ms
time to acquire read lock : 25.115536ms
time to release read lock : 10.991577ms
time to acquire read lock : 27.010434ms
time to release read lock : 9.8166ms
time to acquire read lock : 28.067584ms
time to release read lock : 17.863298ms
time to acquire read lock : 26.33586ms
time to release read lock : 12.200688ms
time to acquire read lock : 30.881439ms
time to release read lock : 16.241763ms
time to acquire read lock : 31.445632ms
time to release read lock : 9.699495ms
time to acquire read lock : 19.740628ms
time to release read lock : 16.897649ms
time to acquire read lock : 21.080405ms
time to release read lock : 10.355615ms
time to acquire read lock : 38.574314ms
time to release read lock : 12.948105ms
time to acquire read lock : 22.981135ms
time to release read lock : 12.227171ms
time to acquire read lock : 24.724428ms
time to release read lock : 10.248122ms
time to acquire read lock : 22.513971ms
time to release read lock : 13.055331ms
time to acquire read lock : 15.987403ms
time to release read lock : 12.617567ms
time to acquire read lock : 33.48937ms
time to release read lock : 9.263555ms
